
> dev
> vite

[33mThe CJS build of Vite's Node API is deprecated. See https://vite.dev/guide/troubleshooting.html#vite-cjs-node-api-deprecated for more details.[39m
Port 3000 is in use, trying another one...
Port 3001 is in use, trying another one...
Port 3002 is in use, trying another one...
Port 3003 is in use, trying another one...
Port 3004 is in use, trying another one...

  VITE v5.4.21  ready in 170 ms
10:39:44 PM [vite] hmr update /src/screens/Intent.jsx
10:39:55 PM [vite] hmr update /src/screens/Intent.jsx
10:40:02 PM [vite] hmr update /src/screens/Intent.jsx
11:05:53 PM [vite] hmr update /src/screens/Intent.jsx
11:05:53 PM [vite] hmr update /src/screens/Intent.jsx, /src/dashboards/BuyerDashboard.jsx
11:06:45 PM [vite] hmr update /src/screens/Intent.jsx
11:16:42 PM [vite] hmr update /src/screens/Intent.jsx
11:33:55 PM [vite] hmr update /src/screens/Intent.jsx
11:43:04 PM [vite] hmr update /src/screens/Intent.jsx
11:43:16 PM [vite] hmr update /src/screens/Intent.jsx
11:46:21 PM [vite] hmr update /src/screens/Intent.jsx
12:32:24 AM [vite] page reload speech-service/venv/lib/python3.14/site-packages/setuptools/tests/indexes/test_links_priority/external.html
12:32:24 AM [vite] page reload speech-service/venv/lib/python3.14/site-packages/setuptools/tests/indexes/test_links_priority/simple/foobar/index.html
12:32:24 AM [vite] page reload speech-service/venv/lib/python3.14/site-packages/setuptools/tests/indexes/test_links_priority/external.html
12:32:24 AM [vite] page reload speech-service/venv/lib/python3.14/site-packages/setuptools/tests/indexes/test_links_priority/simple/foobar/index.html
12:32:29 AM [vite] page reload speech-service/venv/lib/python3.14/site-packages/numba/core/annotations/template.html
12:32:29 AM [vite] page reload speech-service/venv/lib/python3.14/site-packages/numba/core/annotations/template.html
12:32:34 AM [vite] page reload speech-service/venv/lib/python3.14/site-packages/torch/utils/model_dump/skeleton.html
12:32:34 AM [vite] page reload speech-service/venv/lib/python3.14/site-packages/torch/utils/model_dump/skeleton.html
12:39:38 AM [vite] .env changed, restarting server...
12:39:38 AM [vite] .env changed, restarting server...
12:39:38 AM [vite] server restarted.
12:39:51 AM [vite] .env changed, restarting server...
12:39:51 AM [vite] server restarted.
1:04:40 AM [vite] .env changed, restarting server...
1:04:40 AM [vite] server restarted.
2:01:10 AM [vite] page reload deploy/frontend/index.html
2:01:23 AM [vite] page reload deploy/speech-service/venv/lib/python3.14/site-packages/torch/utils/model_dump/skeleton.html
